"Example","Ch","Book_Section","Output_Type","Book_Value","Pkg_Value","Diff","Status","Action_Taken"
"Exam1.1",1,"1.2.3","LM beta0",-0.089,-0.08943985,0.00043985,"EXACT","Verified from Table 1.1 linear-model output printed in Chapter 1"
"Exam1.1",1,"1.2.3","LM beta1",0.1115,0.11151515,0.00001515,"EXACT","Verified from Table 1.1 linear-model output printed in Chapter 1"
"Exam1.1",1,"1.2.3","LM slope p-value","<0.0001",0.000003706,"threshold-confirmed","EXACT","Book reports p < 0.0001; package value confirms the printed threshold"
"Exam1.1",1,"1.2.3","LM R-squared",0.917,0.9167923,0.0002077,"EXACT","Verified from Table 1.1 linear-model output printed in Chapter 1"
"Exam1.1",1,"1.2.3","LM fitted p at x=0",-0.089,-0.08943985,0.00043985,"EXACT","Verified from printed predicted probability at x = 0"
"Exam1.1",1,"1.2.3","LM fitted p at x=10",1.026,1.02571166,0.00028834,"EXACT","Verified from printed predicted probability at x = 10"
"Exam1.1",1,"1.2.4","Logistic GLM beta0",-4.109,-4.1085728,0.0004272,"EXACT","Corrected package/vignette GLM to use binomial counts cbind(y, Nx - y)"
"Exam1.1",1,"1.2.4","Logistic GLM beta1",0.764,0.7640431,0.0000431,"EXACT","Corrected package/vignette GLM to use binomial counts cbind(y, Nx - y)"
"Exam1.1",1,"1.2.4","Logistic GLM fitted p at x=0",0.016,0.01616559,0.00016559,"EXACT","Verified from printed inverse-link prediction at x = 0"
"Exam1.1",1,"1.2.4","Logistic GLM fitted p at x=10",0.972,0.97158075,0.00041925,"EXACT","Verified from printed inverse-link prediction at x = 10"
"Exam1.1",1,"1.2.4","LM observed-fitted correlation",0.957,0.9574927,0.0004927,"EXACT","Verified from Figure 1.1 discussion"
"Exam1.1",1,"1.2.4","Logistic GLM observed-fitted correlation",0.982,0.9817539,0.0002461,"EXACT","Verified from Figure 1.1 discussion"
"Exam11.1",11,"11.1.2","ANOVA trt F",3.81,3.8054,0.0046,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA trt p",0.0869,0.08689,1e-05,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA LSMean trt 1",4.8,4.8,0,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA LSMean trt 2",15,15,0,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA LSMean SE",3.6973,3.6973,0,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log ANOVA trt F",7.78,7.7798,2e-04,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log ANOVA trt p",0.0236,0.02359,1e-05,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log LSMean trt 1",1.3159,1.31585,5e-05,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log LSMean trt 2",2.5372,2.53717,3e-05,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log LSMean SE",0.3096,0.30962,2e-05,"EXACT","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Poisson GLM Pearson chi-square/DF",5.81,5.81,0,"EXACT","Validated from reconstructed counts"
"Exam11.1",11,"11.1.2","Poisson GLMM FE intercept",1.4562,1.4732,0.017,"APPROX","R lme4 nAGQ=0 used as SAS GLIMMIX analogue"
"Exam11.1",11,"11.1.2","Poisson GLMM FE trt2",1.1262,1.1178,0.0084,"EXACT","R lme4 nAGQ=0 used as SAS GLIMMIX analogue"
"Exam11.1",11,"11.1.2","Poisson GLMM VC unit",0.37,0.2908,0.0792,"APPROX","Documented software-estimation difference"
"Exam11.3",11,"11.4","RCBD sample mean trt 1",8,8,0,"EXACT","DataSet11.3 constrained reconstruction"
"Exam11.3",11,"11.4","RCBD sample mean trt 2",13.3,13.3,0,"EXACT","DataSet11.3 constrained reconstruction"
"Exam11.3",11,"11.4","RCBD sample mean trt 3",25.7,25.7,0,"EXACT","DataSet11.3 constrained reconstruction"
"Exam11.3",11,"11.4","Naive Poisson Pearson chi-square/DF",6.88,7.1294,0.2494,"MISMATCH","Raw data unavailable; retained documented reconstruction"
"Exam11.3",11,"11.4","Naive Poisson mean trt 1",4.7023,4.2842,0.4181,"MISMATCH","Raw data unavailable; retained documented reconstruction"
"Exam11.3",11,"11.4","Naive Poisson mean trt 2",7.8176,7.1225,0.6951,"MISMATCH","Raw data unavailable; retained documented reconstruction"
"Exam11.3",11,"11.4","Naive Poisson mean trt 3",15.1061,13.763,1.3431,"MISMATCH","Raw data unavailable; retained documented reconstruction"
"Exam11.3",11,"11.4","Poisson-normal block VC",0.6246,0.7158,0.0912,"APPROX","R lme4 nAGQ=0 used as SAS GLIMMIX analogue"
"Exam11.3",11,"11.4","Poisson-normal unit VC",0.9805,0.7801,0.2004,"MISMATCH","Raw data unavailable; retained documented reconstruction"
"Exam11.3",11,"11.4","Negative-binomial block VC",0.7272,0.8505,0.1233,"MISMATCH","R glmmTMB nbinom2 parameterization differs from SAS"
"Exam11.3",11,"11.4","Negative-binomial scale phi",0.845,0.683,0.162,"MISMATCH","R glmmTMB nbinom2 parameterization differs from SAS"
"Exam11.4",11,"11.5","Split-plot displayed mean a1 b1",10.2125,10.7171,0.5046,"UNVERIF","Synthetic dataset; fitted glmmTMB mean pattern only"
"Exam11.4",11,"11.5","Split-plot displayed mean a1 b2",8.2885,8.7233,0.4348,"UNVERIF","Synthetic dataset; fitted glmmTMB mean pattern only"
"Exam11.4",11,"11.5","Split-plot displayed mean a1 b3",19.2542,19.6896,0.4354,"UNVERIF","Synthetic dataset; fitted glmmTMB mean pattern only"
"Exam11.4",11,"11.5","Split-plot displayed mean a1 b4",6.0363,6.48,0.4437,"UNVERIF","Synthetic dataset; fitted glmmTMB mean pattern only"
